date,product_id,category,region,price,quantity,discount,profit,month,day,weekend,stock_estimate,competitor_price
2016-11-08,FUR-BO-10001798,Furniture,South,130.98,2,0.0,41.9136,11,8,0,85,131.98
2016-11-08,FUR-CH-10000454,Furniture,South,243.98,3,0.0,219.582,11,8,0,91,210.98
2015-10-11,FUR-TA-10000577,Furniture,South,191.5155,5,0.45,-383.031,10,11,1,84,166.5155
2014-06-09,FUR-FU-10001487,Furniture,West,6.98,7,0.0,14.1694,6,9,0,86,-1.0200000000000005
2014-06-09,FUR-TA-10001539,Furniture,West,189.576,9,0.2,85.3092,6,9,0,65,143.576
2017-07-16,FUR-CH-10002774,Furniture,East,35.686,2,0.3,-1.0196,7,16,1,97,-14.314
2015-09-25,FUR-TA-10000577,Furniture,West,348.21000000000004,3,0.0,240.2649,9,25,0,77,346.21000000000004
2015-09-17,FUR-BO-10004834,Furniture,East,440.49,7,0.5,-1665.0522,9,17,0,56,455.49
2015-09-17,FUR-FU-10004848,Furniture,East,41.4,3,0.2,15.525,9,17,0,95,6.399999999999999
2016-12-08,FUR-FU-10003664,Furniture,Central,38.184,5,0.6,-147.963,12,8,0,26,-3.8160000000000025
2015-12-27,FUR-BO-10002545,Furniture,Central,177.4664,3,0.32,-46.9764,12,27,1,30,183.4664
2015-12-27,FUR-CH-10004218,Furniture,Central,70.68599999999999,3,0.3,-15.147,12,27,1,96,30.685999999999996
2015-04-18,FUR-FU-10001706,Furniture,Central,3.08,2,0.0,2.9568,4,18,1,33,-9.92
2015-04-18,FUR-CH-10003061,Furniture,Central,89.99,1,0.0,17.0981,4,18,1,25,75.99
2016-06-17,FUR-CH-10003968,Furniture,East,63.882000000000005,5,0.1,7.098,6,17,0,42,48.882000000000005
2015-11-24,FUR-FU-10000397,Furniture,West,19.94,4,0.0,22.3328,11,24,0,72,-8.059999999999999
2015-04-30,FUR-CH-10001146,Furniture,Central,42.623000000000005,5,0.3,-15.2225,4,30,0,38,60.623000000000005
2015-04-26,FUR-CH-10000513,Furniture,South,103.992,8,0.2,-114.3912,4,26,1,56,152.99200000000002
2015-04-26,FUR-FU-10003708,Furniture,South,48.52,2,0.2,1.213,4,26,1,58,88.52000000000001
2017-12-09,FUR-FU-10000260,Furniture,Central,3.236,3,0.6,-5.8248,12,9,1,32,-23.764
2014-11-26,FUR-FU-10003194,Furniture,Central,3.86,5,0.6,-14.475,11,26,0,104,49.86
2017-05-28,FUR-CH-10000863,Furniture,South,150.98,2,0.0,33.2156,5,28,1,29,177.98
2015-01-31,FUR-FU-10003799,Furniture,Central,17.78,3,0.0,16.5354,1,31,1,89,17.78
2017-11-09,FUR-FU-10000629,Furniture,East,13.79,7,0.0,40.5426,11,9,0,41,45.79
2015-11-13,FUR-FU-10004006,Furniture,West,34.12,3,0.2,-3.8385,11,13,0,98,58.12
2017-12-25,FUR-FU-10001934,Furniture,East,20.98,2,0.0,10.9096,12,25,0,78,47.98
2015-03-02,FUR-TA-10001768,Furniture,West,262.51,3,0.0,165.3813,3,2,0,67,299.51
2016-06-12,FUR-FU-10002157,Furniture,East,15.68,3,0.0,18.3456,6,12,1,84,-12.32
